,Board Name,Board Type,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,City,Province,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate"
1,Algoma DSB,Pub Dist Sch Brd (E/F),Anna McCrea Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,200,0.0,1.0,0.0,0.05,0.15,0.0,0.69,-8,0.66,8,0.72,-9,0.8,0,0.8,13,0.4,-13,0.05,0.0
2,Algoma DSB,Pub Dist Sch Brd (E/F),Ben R McMullin Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,150,0.05,1.0,0.05,0.05,0.25,0.0,0.47,3,0.41,3,0.29,-15,0.45,-29,0.55,-10,0.23,1,0.3,0.1
3,Algoma DSB,Pub Dist Sch Brd (E/F),Blind River Public School,Public,Not applicable,Elementary,English,JK-8,Blind River,Ontario,175,0.0,1.0,0.0,0.0,0.2,0.0,0.43,-7,0.36,0,0.21,-29,0.58,6,0.58,-7,0.25,-5,0.25,0.0
6,Algoma DSB,Pub Dist Sch Brd (E/F),Central Algoma Public School,Public,Not applicable,Elementary,English,JK-6,Desbarats,Ontario,115,0.05,1.0,0.0,0.0,0.25,0.0,0.83,16,0.58,-9,0.5,-17,0.73,3,0.77,20,0.73,23,0.3,0.25
8,Algoma DSB,Pub Dist Sch Brd (E/F),Central Avenue Public School,Public,Not applicable,Elementary,English,JK-8,Elliot Lake,Ontario,255,0.0,1.0,0.0,0.0,0.2,0.0,0.19,-13,0.22,-13,0.19,-13,0.46,9,0.41,-3,0.07,-8,0.3,0.1
11,Algoma DSB,Pub Dist Sch Brd (E/F),East View Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,300,0.0,1.0,0.0,0.0,0.2,0.0,0.5,-9,0.25,-21,0.32,-19,0.66,8,0.74,16,0.2,-7,0.15,0.05
12,Algoma DSB,Pub Dist Sch Brd (E/F),Echo Bay Central Public School,Public,Not applicable,Elementary,English,JK-6,Echo Bay,Ontario,230,0.0,1.0,0.0,0.0,0.05,0.0,0.88,5,0.81,7,0.75,5,0.89,25,0.95,31,0.68,25,0.1,0.0
17,Algoma DSB,Pub Dist Sch Brd (E/F),Grand View Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,275,0.0,1.0,0.0,0.0,0.1,0.0,0.83,2,0.75,-11,0.67,-14,0.78,-2,0.67,0,0.56,9,0.1,0.0
18,Algoma DSB,Pub Dist Sch Brd (E/F),Greenwood Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,225,0.0,1.0,0.0,0.0,0.1,0.0,0.73,23,0.62,-19,0.54,23,0.78,13,0.84,19,0.47,9,0.1,0.05
19,Algoma DSB,Pub Dist Sch Brd (E/F),H M Robbins Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,260,0.0,1.0,0.0,0.0,0.2,0.0,0.58,0,0.46,-17,0.5,13,0.68,-11,0.56,6,0.24,-14,0.3,0.05
22,Algoma DSB,Pub Dist Sch Brd (E/F),Isabel Fletcher Public School,Public,Not applicable,Elementary,English,JK-6,Sault Ste Marie,Ontario,190,0.0,1.0,0.0,0.0,0.1,0.0,0.57,28,0.43,11,0.5,40,0.62,-16,0.57,-4,0.24,-4,0.2,0.1
23,Algoma DSB,Pub Dist Sch Brd (E/F),Kiwedin Public School,Public,Not applicable,Elementary,English,JK-6,Sault Ste Marie,Ontario,175,0.0,1.0,0.05,0.05,0.2,0.0,0.5,14,0.2,-7,0.2,-7,0.68,-25,0.47,-33,0.63,36,0.3,0.1
27,Algoma DSB,Pub Dist Sch Brd (E/F),Mountain View Public School,Public,Not applicable,Elementary,English,JK-8,Goulais River,Ontario,190,0.0,1.0,0.0,0.0,0.15,0.0,0.42,-8,0.33,14,0.42,11,0.78,18,0.67,39,0.56,36,0.15,0.05
29,Algoma DSB,Pub Dist Sch Brd (E/F),Northern Heights Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,240,0.0,1.0,0.0,0.0,0.25,0.0,0.62,3,0.19,-40,0.33,-43,0.5,2,0.46,17,0.07,-12,0.3,0.05
30,Algoma DSB,Pub Dist Sch Brd (E/F),Parkland Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,155,0.1,1.0,0.1,0.1,0.2,0.0,0.36,-33,0.18,-44,0.36,-26,0.33,-32,0.33,-27,0.04,-16,0.2,0.05
31,Algoma DSB,Pub Dist Sch Brd (E/F),Pinewood Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,235,0.05,1.0,0.0,0.0,0.1,0.0,0.44,-17,0.56,-14,0.44,-4,0.71,12,0.71,16,0.38,20,0.2,0.0
32,Algoma DSB,Pub Dist Sch Brd (E/F),Queen Elizabeth Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,295,0.0,1.0,0.05,0.05,0.2,0.0,0.64,-5,0.44,-40,0.52,-17,0.69,-3,0.69,-3,0.42,6,0.2,0.1
33,Algoma DSB,Pub Dist Sch Brd (E/F),R M Moore Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,270,0.0,1.0,0.0,0.0,0.1,0.0,0.61,-10,0.72,10,0.61,-10,0.78,6,0.72,0,0.33,-34,0.05,0.0
34,Algoma DSB,Pub Dist Sch Brd (E/F),River View Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,190,0.0,1.0,0.05,0.0,0.25,0.0,0.6,4,0.67,-5,0.6,-7,0.62,-6,0.62,-6,0.31,-8,0.3,0.1
41,Algoma DSB,Pub Dist Sch Brd (E/F),Tarentorus Public School,Public,Not applicable,Elementary,English,JK-8,Sault Ste Marie,Ontario,280,0.0,1.0,0.0,0.0,0.1,0.0,0.93,-3,0.75,-25,0.61,-20,0.96,18,0.96,13,0.75,14,0.1,0.05
42,Algoma DSB,Pub Dist Sch Brd (E/F),Thessalon Public School,Public,Not applicable,Elementary,English,JK-6,Thessalon,Ontario,175,0.0,1.0,0.0,0.0,0.15,0.0,0.35,6,0.2,6,0.3,5,0.87,23,0.73,15,0.53,11,0.1,0.0
86,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Anne Hathaway Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,405,0.0,1.0,0.05,0.05,0.1,0.0,0.57,-15,0.55,-19,0.53,-8,0.69,-17,0.64,-11,0.4,-19,0.2,0.15
88,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Avon Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,395,0.05,1.0,0.05,0.05,0.05,0.0,0.75,-7,0.69,-7,0.46,-20,0.82,0,0.75,0,0.55,-16,0.1,0.0
89,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Bedford Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,440,0.0,1.0,0.05,0.05,0.05,0.0,0.69,-12,0.6,-8,0.63,16,0.88,5,0.79,-6,0.46,-3,0.15,0.05
90,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Bluewater Coast Elementary Public School,Public,Not applicable,Elementary,English,JK-6,Hensall,Ontario,140,0.0,1.0,0.0,0.0,0.1,0.0,0.82,7,0.73,-12,0.73,3,0.95,14,0.9,4,0.52,0,0.1,0.1
91,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Brookside Public School,Public,Not applicable,Elementary,English,JK-8,Lucknow,Ontario,215,0.0,1.0,0.0,0.05,0.1,0.0,0.71,21,0.71,7,0.57,21,0.68,-6,0.74,13,0.32,6,0.2,0.2
93,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Central Perth Elementary School,Public,Not applicable,Elementary,English,JK-8,Sebringville,Ontario,205,0.05,1.0,0.0,0.0,0.1,0.0,0.76,20,0.65,9,0.35,-13,0.8,0,0.83,23,0.3,18,0.15,0.1
94,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Clinton Public School,Public,Not applicable,Elementary,English,JK-8,Clinton,Ontario,290,0.0,1.0,0.0,0.0,0.25,0.0,0.75,16,0.68,21,0.57,7,0.87,11,0.87,22,0.47,-10,0.2,0.05
95,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Downie Central Public School,Public,Not applicable,Elementary,English,JK-8,St Pauls,Ontario,200,0.0,1.0,0.0,0.0,0.2,0.0,0.9,9,0.9,6,0.71,6,0.8,-1,0.8,-4,0.6,-1,0.1,0.05
96,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Elma Township Public School,Public,Not applicable,Elementary,English,JK-8,Atwood,Ontario,345,0.05,1.0,0.0,0.0,0.1,0.0,0.85,31,0.78,21,0.67,10,0.67,-19,0.67,12,0.31,-10,0.1,0.3
97,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Exeter Elementary School,Public,Not applicable,Elementary,English,JK-6,Exeter,Ontario,370,0.0,1.0,0.0,0.0,0.1,0.0,0.64,-15,0.77,-2,0.67,-9,0.72,-1,0.81,10,0.43,7,0.2,0.05
102,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Goderich Public School,Public,Not applicable,Elementary,English,JK-6,Goderich,Ontario,525,0.02,1.0,0.02,0.02,0.1,0.02,0.78,2,0.69,-12,0.61,-15,0.91,-1,0.88,1,0.7,25,0.16,0.04
103,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Hamlet Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,185,0.0,1.0,0.0,0.0,0.05,0.0,0.88,27,0.88,23,0.79,22,0.79,-4,0.76,18,0.52,2,0.2,0.0
104,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Howick Central Public School,Public,Not applicable,Elementary,English,JK-8,Gorrie,Ontario,315,0.05,1.0,0.0,0.0,0.15,0.0,0.72,-6,0.6,-25,0.56,-14,0.72,2,0.69,-6,0.28,-7,0.2,0.35
105,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Hullett Central Public School,Public,Not applicable,Elementary,English,JK-8,Londesborough,Ontario,255,0.05,1.0,0.0,0.0,0.1,0.0,0.77,12,0.85,-5,0.85,4,0.83,3,0.75,5,0.38,25,0.2,0.05
106,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Huron Centennial Public School,Public,Not applicable,Elementary,English,JK-8,Brucefield,Ontario,370,0.0,1.0,0.0,0.0,0.1,0.0,0.77,37,0.46,-18,0.49,-3,0.87,12,0.89,7,0.6,31,0.15,0.05
108,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Listowel Eastdale Public School,Public,Not applicable,Elementary,English,JK-6,Listowel,Ontario,330,0.05,1.0,0.0,0.0,0.1,0.05,0.77,10,0.74,18,0.64,3,0.91,-9,0.88,0,0.75,-10,0.1,0.1
109,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Little Falls Public School,Public,Not applicable,Elementary,English,JK-6,St Marys,Ontario,460,0.0,1.0,0.05,0.0,0.1,0.0,0.84,-2,0.73,-9,0.73,-4,0.84,2,0.81,3,0.44,-15,0.05,0.0
110,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Maitland River Elementary Public School,Public,Not applicable,Elementary,English,JK-6,Wingham,Ontario,470,0.05,1.0,0.0,0.0,0.1,0.0,0.78,16,0.66,19,0.49,7,0.81,5,0.7,7,0.4,9,0.15,0.2
111,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Milverton Public School,Public,Not applicable,Elementary,English,JK-8,Milverton,Ontario,285,0.0,1.0,0.0,0.0,0.05,0.05,0.77,1,0.77,-17,0.61,-13,0.7,-3,0.9,21,0.6,2,0.2,0.45
114,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Mornington Central Public School,Public,Not applicable,Elementary,English,JK-8,Newton,Ontario,230,0.9,1.0,0.1,0.1,0.05,0.0,0.36,31,0.36,25,0.2,15,0.52,12,0.57,7,0.33,8,0.25,0.6
115,Avon Maitland DSB,Pub Dist Sch Brd (E/F),North Easthope Public School,Public,Not applicable,Elementary,English,JK-8,Stratford,Ontario,165,0.0,1.0,0.05,0.0,0.1,0.0,0.67,-16,0.67,-27,0.92,14,0.88,-6,0.88,21,0.53,-3,0.1,0.2
116,Avon Maitland DSB,Pub Dist Sch Brd (E/F),North Perth Westfield Elementary School,Public,Not applicable,Elementary,English,JK-8,Listowel,Ontario,625,0.04,1.0,0.01,0.01,0.1,0.01,0.67,-11,0.71,-9,0.4,-29,0.76,-6,0.76,-2,0.46,-9,0.11,0.07
117,Avon Maitland DSB,Pub Dist Sch Brd (E/F),North Woods Elementary School,Public,Not applicable,Elementary,English,JK-6,Ethel,Ontario,145,0.05,1.0,0.0,0.0,0.1,0.0,0.78,3,0.72,5,0.56,-2,0.88,-5,0.75,-18,0.56,9,0.15,0.2
119,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Seaforth Public School,Public,Not applicable,Elementary,English,JK-8,Seaforth,Ontario,295,0.0,1.0,0.05,0.05,0.1,0.05,0.68,16,0.75,20,0.5,2,0.83,1,0.86,4,0.49,-1,0.2,0.0
120,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Shakespeare Public School,Public,Not applicable,Elementary,English,JK-6,Stratford,Ontario,175,0.0,1.0,0.0,0.0,0.15,0.0,0.76,13,0.62,-12,0.52,-4,0.67,4,0.67,9,0.2,-6,0.2,0.1
123,Avon Maitland DSB,Pub Dist Sch Brd (E/F),South Perth Centennial Public School,Public,Not applicable,Elementary,English,JK-8,St Marys,Ontario,160,0.05,1.0,0.0,0.0,0.1,0.0,0.82,1,1.0,33,0.64,2,0.94,21,1.0,13,0.69,2,0.1,0.0
124,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Sprucedale Public School,Public,Not applicable,Elementary,English,JK-8,Shakespeare,Ontario,185,0.0,1.0,0.0,0.0,0.05,0.0,0.67,7,0.5,-15,0.54,-6,0.75,-5,0.62,-18,0.5,40,0.1,0.1
127,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Stephen Central Public School,Public,Not applicable,Elementary,English,JK-6,Dashwood,Ontario,165,0.05,1.0,0.0,0.0,0.15,0.0,0.88,17,0.94,2,0.75,0,0.83,15,0.89,9,0.5,10,0.25,0.15
130,Avon Maitland DSB,Pub Dist Sch Brd (E/F),Upper Thames Elementary School,Public,Not applicable,Elementary,English,JK-8,Mitchell,Ontario,570,0.03,1.0,0.02,0.02,0.08,0.01,0.73,-7,0.76,3,0.55,-8,0.86,4,0.77,9,0.62,7,0.1,0.02
132,Bluewater DSB,Pub Dist Sch Brd (E/F),Alexandra Community School,Public,Not applicable,Elementary,English,JK-8,Owen Sound,Ontario,245,0.0,1.0,0.0,0.0,0.15,0.0,0.47,5,0.73,19,0.53,30,0.65,1,0.59,-5,0.18,-5,0.25,0.1
133,Bluewater DSB,Pub Dist Sch Brd (E/F),Amabel-Sauble Community School,Public,Not applicable,Elementary,English,JK-8,Sauble Beach,Ontario,165,0.0,0.95,0.0,0.0,0.15,0.0,0.87,40,0.8,21,0.67,32,0.94,16,0.88,10,0.56,39,0.15,0.1
134,Bluewater DSB,Pub Dist Sch Brd (E/F),Arran Tara Elementary School,Public,Not applicable,Elementary,English,JK-8,Tara,Ontario,390,0.05,1.0,0.0,0.0,0.1,0.0,0.77,-14,0.72,-16,0.77,-2,0.89,5,0.93,4,0.39,-24,0.2,0.1
135,Bluewater DSB,Pub Dist Sch Brd (E/F),Beaver Valley Community School,Public,Not applicable,Elementary,English,JK-8,Thornbury,Ontario,565,0.01,1.0,0.01,0.02,0.12,0.0,0.82,-5,0.77,-5,0.77,5,0.94,-1,0.89,5,0.72,17,0.18,0.01
136,Bluewater DSB,Pub Dist Sch Brd (E/F),Beavercrest Community School,Public,Not applicable,Elementary,English,JK-8,Markdale,Ontario,210,0.05,1.0,0.05,0.05,0.1,0.0,0.8,11,0.72,3,0.64,2,0.79,14,0.86,1,0.79,59,0.1,0.15
137,Bluewater DSB,Pub Dist Sch Brd (E/F),Bruce Peninsula District School,Public,Not applicable,Elementary,English,JK-8,Lion s Head,Ontario,195,0.0,1.0,0.0,0.0,0.1,0.0,0.76,7,0.67,-21,0.52,-17,0.83,-10,0.71,8,0.46,27,0.2,0.0
139,Bluewater DSB,Pub Dist Sch Brd (E/F),Chesley District Community School,Public,Not applicable,Elementary,English,JK-8,Chesley,Ontario,325,0.0,1.0,0.0,0.0,0.2,0.0,0.63,3,0.57,-17,0.43,-9,0.53,-9,0.47,3,0.25,-9,0.25,0.2
140,Bluewater DSB,Pub Dist Sch Brd (E/F),Dawnview Public School,Public,Not applicable,Elementary,English,JK-6,Hanover,Ontario,220,0.05,1.0,0.0,0.0,0.05,0.0,0.72,16,0.44,-4,0.36,-5,0.92,23,0.92,17,0.5,19,0.15,0.1
143,Bluewater DSB,Pub Dist Sch Brd (E/F),Egremont Community School,Public,Not applicable,Elementary,English,JK-8,Holstein,Ontario,210,0.0,1.0,0.0,0.0,0.2,0.0,0.73,5,0.86,18,0.59,14,0.69,-23,0.85,8,0.38,-8,0.2,0.3
144,Bluewater DSB,Pub Dist Sch Brd (E/F),Elgin Market Public School,Public,Not applicable,Elementary,English,JK-8,Kincardine,Ontario,275,0.05,1.0,0.05,0.0,0.1,0.0,0.59,-3,0.45,-20,0.38,-16,0.81,-4,0.81,-11,0.33,-21,0.1,0.05
145,Bluewater DSB,Pub Dist Sch Brd (E/F),G C Huston Public School,Public,Not applicable,Elementary,English,JK-8,Southampton,Ontario,335,0.0,1.0,0.0,0.0,0.1,0.0,0.66,2,0.66,4,0.47,6,0.67,2,0.67,2,0.29,16,0.1,0.05
149,Bluewater DSB,Pub Dist Sch Brd (E/F),Hanover Heights Community School,Public,Not applicable,Elementary,English,JK-8,Hanover,Ontario,360,0.0,1.0,0.05,0.0,0.2,0.0,0.77,23,0.67,21,0.63,6,0.58,6,0.58,7,0.25,-6,0.2,0.1
150,Bluewater DSB,Pub Dist Sch Brd (E/F),Hepworth Central Public School,Public,Not applicable,Elementary,English,JK-8,Hepworth,Ontario,355,0.0,1.0,0.0,0.0,0.1,0.0,0.81,40,0.64,30,0.56,1,0.9,1,0.86,23,0.41,-15,0.15,0.1
153,Bluewater DSB,Pub Dist Sch Brd (E/F),Hillcrest Elementary School,Public,Not applicable,Elementary,English,JK-8,Owen Sound,Ontario,615,0.07,1.0,0.05,0.05,0.23,0.01,0.57,-12,0.65,-12,0.52,-20,0.65,26,0.72,40,0.33,20,0.22,0.06
154,Bluewater DSB,Pub Dist Sch Brd (E/F),Holland-Chatsworth Central School,Public,Not applicable,Elementary,English,JK-8,Holland Centre,Ontario,275,0.05,1.0,0.0,0.0,0.0,0.0,0.46,-37,0.31,-30,0.31,-47,0.85,16,0.7,4,0.45,1,0.15,0.05
158,Bluewater DSB,Pub Dist Sch Brd (E/F),Keppel-Sarawak Elementary School,Public,Not applicable,Elementary,English,JK-6,Owen Sound,Ontario,365,0.0,1.0,0.0,0.0,0.1,0.0,0.68,-2,0.66,3,0.58,-15,0.79,-3,0.81,7,0.36,-8,0.15,0.0
163,Bluewater DSB,Pub Dist Sch Brd (E/F),Macphail Memorial Elementary School,Public,Not applicable,Elementary,English,JK-8,Flesherton,Ontario,560,0.12,1.0,0.01,0.0,0.14,0.0,0.61,-3,0.39,-12,0.23,-15,0.75,-5,0.66,5,0.43,-2,0.18,0.21
165,Bluewater DSB,Pub Dist Sch Brd (E/F),Normanby Community School,Public,Not applicable,Elementary,English,JK-8,Ayton,Ontario,195,0.0,1.0,0.0,0.0,0.15,0.0,0.84,-16,0.53,-47,0.42,-35,0.72,-20,0.67,-18,0.22,-9,0.2,0.2
166,Bluewater DSB,Pub Dist Sch Brd (E/F),Northport Elementary School,Public,Not applicable,Elementary,English,JK-8,Port Elgin,Ontario,405,0.1,1.0,0.0,0.05,0.1,0.0,0.82,7,0.67,-12,0.69,-13,0.63,-26,0.59,-25,0.3,-35,0.05,0.0
167,Bluewater DSB,Pub Dist Sch Brd (E/F),Osprey Central School,Public,Not applicable,Elementary,English,JK-8,Maxwell,Ontario,365,0.4,1.0,0.0,0.0,0.1,0.0,0.59,12,0.41,-24,0.35,-18,0.53,-23,0.58,-25,0.31,-10,0.2,0.3
170,Bluewater DSB,Pub Dist Sch Brd (E/F),Peninsula Shores District School,Public,Not applicable,Elementary,English,JK-8,Wiarton,Ontario,310,0.0,1.0,0.05,0.05,0.2,0.0,0.59,-15,0.43,-25,0.22,-36,0.62,-13,0.75,-3,0.06,-19,0.2,0.05
172,Bluewater DSB,Pub Dist Sch Brd (E/F),Port Elgin-Saugeen Central School,Public,Not applicable,Elementary,English,JK-8,Port Elgin,Ontario,610,0.07,1.0,0.02,0.02,0.1,0.0,0.78,6,0.7,2,0.46,-3,0.76,-10,0.78,0,0.35,-10,0.14,0.05
173,Bluewater DSB,Pub Dist Sch Brd (E/F),Ripley-Huron Community - Junior Campus School,Public,Not applicable,Elementary,English,JK-8,Ripley,Ontario,290,0.0,1.0,0.0,0.0,0.15,0.0,0.74,-12,0.81,-5,0.52,-19,0.82,2,0.91,6,0.42,2,0.15,0.15
176,Bluewater DSB,Pub Dist Sch Brd (E/F),Spruce Ridge Community School,Public,Not applicable,Elementary,English,JK-8,Durham,Ontario,360,0.0,1.0,0.0,0.0,0.15,0.0,0.79,15,0.63,1,0.65,7,0.7,-6,0.7,3,0.32,15,0.15,0.15
178,Bluewater DSB,Pub Dist Sch Brd (E/F),Sullivan Community School,Public,Not applicable,Elementary,English,JK-8,Chatsworth,Ontario,135,0.0,1.0,0.0,0.0,0.2,0.0,0.53,-15,0.33,-20,0.4,-7,0.69,-10,0.62,-17,0.44,1,0.3,0.2
179,Bluewater DSB,Pub Dist Sch Brd (E/F),Walkerton District Community School,Public,Not applicable,Elementary,English,JK-8,Walkerton,Ontario,405,0.05,1.0,0.0,0.0,0.15,0.0,0.83,23,0.97,46,0.77,14,0.49,-18,0.49,-11,0.16,-8,0.2,0.1
277,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Carrefour Jeunesse,Public,Not applicable,Elementary,French,JK-8,Rockland,Ontario,420,0.8,0.2,0.0,0.0,0.15,0.0,0.8,9,0.74,16,0.74,24,0.89,15,0.73,8,0.57,-8,0.1,0.05
278,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Charlotte Lemieux,Public,Not applicable,Elementary,French,JK-6,Ottawa,Ontario,490,0.8,0.75,0.2,0.2,0.1,0.0,0.93,15,0.82,-4,0.85,10,0.95,6,0.84,-2,0.72,-9,0.4,0.15
279,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Cite Jeunesse,Public,Not applicable,Elementary,French,JK-6,Trenton,Ontario,345,0.5,0.55,0.0,0.0,0.1,0.0,0.86,14,0.75,14,0.83,-6,1.0,14,0.75,-11,0.91,5,0.1,0.1
280,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique De la Riviere Castor,Public,Not applicable,Elementary,French,JK-8,Embrun,Ontario,260,0.45,0.55,0.0,0.05,0.1,0.0,0.78,-3,0.78,-10,0.87,25,1.0,13,1.0,9,0.93,2,0.1,0.0
282,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Des Sentiers,Public,Not applicable,Elementary,French,JK-6,Orleans,Ontario,425,0.75,0.45,0.0,0.05,0.0,0.0,0.95,2,0.9,-6,0.77,-14,0.95,-3,0.88,-10,0.86,-14,0.1,0.0
283,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Francojeunesse,Public,Not applicable,Elementary,French,JK-6,Ottawa,Ontario,640,0.66,0.49,0.09,0.09,0.06,0.0,0.94,4,0.71,-17,0.84,4,0.97,2,0.86,-6,0.88,-3,0.25,0.03
284,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Gabrielle-Roy,Public,Not applicable,Elementary,French,JK-6,Gloucester,Ontario,530,0.83,0.75,0.19,0.18,0.0,0.0,0.84,17,0.71,24,0.56,3,0.95,11,0.79,8,0.6,-13,0.43,0.15
286,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Jeanne-Sauve,Public,Not applicable,Elementary,French,JK-6,Orleans,Ontario,450,0.65,0.45,0.0,0.05,0.05,0.0,0.97,6,0.85,-11,0.74,-4,0.98,5,0.92,-4,0.92,12,0.05,0.0
287,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Julie-Payette,Public,Not applicable,Elementary,French,JK-8,Kanata,Ontario,605,0.63,0.7,0.03,0.04,0.01,0.0,0.92,-1,0.88,-3,0.88,-5,0.95,1,0.9,9,0.9,-2,0.08,0.0
288,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique L'Academie de la Seigneurie,Public,Not applicable,Elementary,French,JK-8,Casselman,Ontario,235,0.65,0.35,0.0,0.0,0.2,0.0,0.81,10,0.45,-26,0.77,1,0.94,8,0.94,12,0.94,-1,0.1,0.0
289,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique L'Equinoxe,Public,Not applicable,Elementary,French,JK-8,PEMBROKE,Ontario,320,0.3,0.7,0.0,0.0,0.05,0.0,0.84,23,0.47,-5,0.79,-21,1.0,0,0.82,-7,1.0,6,0.15,0.05
291,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique L'Odyssee,Public,Not applicable,Elementary,French,JK-6,Orleans,Ontario,550,0.69,0.48,0.05,0.05,0.11,0.0,0.84,-1,0.76,-14,0.69,-11,0.95,3,0.77,-12,0.8,-6,0.12,0.02
292,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Le Prelude,Public,Not applicable,Elementary,French,JK-6,Orleans,Ontario,425,0.7,0.5,0.05,0.05,0.1,0.0,0.95,-2,0.89,-7,0.84,-4,0.98,1,0.92,-2,0.96,11,0.1,0.05
296,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Madeleine-de-Roybon,Public,Not applicable,Elementary,French,JK-6,Kingston,Ontario,475,0.4,0.7,0.05,0.0,0.05,0.0,0.9,-2,0.84,-8,0.89,-1,0.95,0,0.92,-3,0.92,-3,0.1,0.0
299,CEP de l'Est de l'Ontario,Pub Dist Sch Brd (E/F),Ecole elementaire publique Marie-Curie,Public,Not applicable,Elementary,French,JK-6,Ottawa,Ontario,345,0.8,0.75,0.3,0.25,0.05,0.0,0.75,4,0.72,12,0.48,-16,0.78,-1,0.57,-11,0.53,0,0.5,0.15
